Time,KS_X,KS_Y,Gierwinkel,Geschw_X,Geschw_Y,Giergeschwindigkeit
45.256,26.9032010881541,4.56145075964239,5.89414272093949,2.50244951187032,-0.759522508353362,0.172420954941205
45.26,26.9032010881541,4.56145075964239,5.89414272093949,2.50244951187032,-0.759522508353362,0.172420954941205
45.264,26.9169542069724,4.55728364370013,5.89509018689968,2.50314421900692,-0.757143628887727,0.172419373435738
45.268,26.9307111370456,4.55312960162102,5.89603764417048,2.50383665893466,-0.754764136806902,0.172417791962237
45.272,26.9444718297192,4.54898864764475,5.89698509024963,2.50452682997638,-0.752384040817207,0.172416210647361
45.276,26.9444718297192,4.54898864764475,5.89698509024963,2.50452682997638,-0.752384040817207,0.172416210647361
45.28,26.9582363087079,4.54486077417051,5.89793252764039,2.50521473271162,-0.750003336528461,0.172414629372468
45.284,26.9720045615377,4.54074598453371,5.89887995634889,2.50590036625314,-0.747622025943244,0.172413048062459
45.288,26.9720045615377,4.54074598453371,5.89887995634889,2.50590036625314,-0.747622025943244,0.172413048062459
45.292,26.9857765757465,4.53664428206105,5.8998273763691,2.50658373054618,-0.745240111407812,0.172411466784408
45.296,26.9995523026356,4.53255568080504,5.90077478519929,2.50726482394703,-0.742857601632823,0.172409885664948
45.3,27.013331765942,4.52848017325676,5.90172218534219,2.50794364701827,-0.740474492227215,0.172408304585463
45.304,27.013331765942,4.52848017325676,5.90172218534219,2.50794364701827,-0.740474492227215,0.172408304585463
45.308,27.0271149531806,4.52441776270393,5.90266957680391,2.50862019888043,-0.7380907851966,0.17240672347087
45.312,27.0409018518784,4.52036845242562,5.90361695957845,2.5092944794876,-0.735706482887056,0.172405142388226
45.316,27.0546924132854,4.51633225628926,5.90456433116407,2.5099664872292,-0.733321594014769,0.17240356146414
45.32,27.0546924132854,4.51633225628926,5.90456433116407,2.5099664872292,-0.733321594014769,0.17240356146414
45.324,27.068486661168,4.51230916687562,5.9055116940635,2.51063622265123,-0.730936114186538,0.172401980580022
45.328,27.0822845830306,4.50829918742471,5.90645904828285,2.51130368488195,-0.728550045410979,0.1724003996608
45.332,27.0822845830306,4.50829918742471,5.90645904828285,2.51130368488195,-0.728550045410979,0.1724003996608
45.336,27.0960861663892,4.50430232116794,5.90740639381611,2.51196887388437,-0.72616339003396,0.172398818773521
45.34,27.1098913624578,4.5003185817832,5.90835372816257,2.5126317880817,-0.723776156774515,0.172397238044766
45.344,27.1237001950177,4.49634796194537,5.90930105382393,2.51329242800269,-0.721388341239915,0.17239565735597
45.348,27.1237001950177,4.49634796194537,5.90930105382393,2.51329242800269,-0.721388341239915,0.17239565735597
45.352,27.1375126515624,4.49239046484671,5.9102483708063,2.51395079278331,-0.718999945441757,0.172394076632077
45.356,27.1513287195972,4.48844609367093,5.91119567910369,2.51460688239549,-0.716610971725661,0.172392495940118
45.36,27.1651483502921,4.48451486190892,5.91214297621577,2.51526069529581,-0.714221428814942,0.172390915406651
45.364,27.1651483502921,4.48451486190892,5.91214297621577,2.51526069529581,-0.714221428814942,0.172390915406651
45.368,27.1789715674516,4.48059676232704,5.91309026464385,2.5159122319962,-0.711831312315855,0.172389334913134
45.372,27.1927983585586,4.47669179806978,5.91403754439404,2.51656149164036,-0.709440624242932,0.172387754384526
45.376,27.1927983585586,4.47669179806978,5.91403754439404,2.51656149164036,-0.709440624242932,0.172387754384526
45.38,27.206628711108,4.47279997227314,5.91498481546033,2.51720847420913,-0.707049366941524,0.172386173887845
45.384,27.220462576237,4.46892129823791,5.91593207534353,2.51785317819297,-0.704657549137292,0.172384593549621
45.388,27.2342999777622,4.46505576882498,5.91687932654383,2.51849560408647,-0.702265166437338,0.172383013251339
45.392,27.2342999777622,4.46505576882498,5.91687932654383,2.51849560408647,-0.702265166437338,0.172383013251339
45.396,27.2481409031564,4.46120338713104,5.91782656906733,2.5191357510411,-0.699872220859114,0.172381432917973
45.4,27.2619853399041,4.4573641562443,5.91877380290803,2.5197736190466,-0.697478714747653,0.172379852616525
45.404,27.2758332390915,4.45353808928066,5.91972102556656,2.52040920662642,-0.695084656834098,0.172378272473502
45.408,27.2758332390915,4.45353808928066,5.91972102556656,2.52040920662642,-0.695084656834098,0.172378272473502
45.412,27.289684624566,4.44972517919027,5.92066823954327,2.52104251425874,-0.692690042723209,0.172376692370413
45.416,27.3035394837904,4.44592542902196,5.92161544484428,2.52167354110276,-0.690294874435321,0.172375112232247
45.42,27.3035394837904,4.44592542902196,5.92161544484428,2.52167354110276,-0.690294874435321,0.172375112232247
45.424,27.3173978042391,4.44213884181617,5.9225626414636,2.52230228715714,-0.687899154315117,0.17237353212599
45.428,27.3312595369627,4.43836543049962,5.92350982690268,2.52292875097902,-0.68550289109651,0.172371952178125
45.432,27.3451247058244,4.43460518811593,5.92445700366104,2.52355293302945,-0.683106080384562,0.172370372270186
45.436,27.3451247058244,4.43460518811593,5.92445700366104,2.52355293302945,-0.683106080384562,0.172370372270186
45.44,27.3589932982769,4.43085811766609,5.9254041717448,2.52417483247542,-0.680708724202466,0.172368792327175
45.444,27.3728653017848,4.4271242221427,5.92635133114796,2.52479444932446,-0.678310824894529,0.172367212416066
45.448,27.386740667367,4.4234035142824,5.92729847937304,2.52541178216755,-0.675912391196754,0.172365632663315
45.452,27.386740667367,4.4234035142824,5.92729847937304,2.52541178216755,-0.675912391196754,0.172365632663315
45.456,27.4006194188991,4.41969598722315,5.92824561891849,2.5260268314485,-0.67351341871512,0.17236405295048
45.46,27.4145015438236,4.41600164391805,5.92919274979044,2.52663959634206,-0.671113909475643,0.172362473202581
45.464,27.4145015438236,4.41600164391805,5.92919274979044,2.52663959634206,-0.671113909475643,0.172362473202581
45.468,27.4283870295957,4.41232048731183,5.93013987198287,2.52725007686467,-0.668713865822212,0.172360893486577
45.472,27.4422758271894,4.4086525299547,5.93108698299843,2.52785827164052,-0.666313296495219,0.172359313928896
45.476,27.4561679605058,4.40499776507525,5.93203408533546,2.52846418109678,-0.663912197099208,0.172357734411125
45.48,27.4561679605058,4.40499776507525,5.93203408533546,2.52846418109678,-0.663912197099208,0.172357734411125
45.484,27.4700634169783,4.40135619557862,5.93298117900008,2.52906780441602,-0.661510569662978,0.172356154858295
45.488,27.483962184052,4.39772782436168,5.93392826398628,2.52966914162353,-0.659108416529982,0.172354575337352
45.492,27.4978642126569,4.39411266378813,5.93487533779678,2.53026819137675,-0.656705746444921,0.1723529959747
45.496,27.4978642126569,4.39411266378813,5.93487533779678,2.53026819137675,-0.656705746444921,0.1723529959747
45.5,27.5117695267197,4.39051070717719,5.93582240292985,2.53086495408621,-0.654302555010906,0.17235141665195
45.504,27.5256781136642,4.38692195738604,5.93676945939161,2.53145942894229,-0.65189884425951,0.172349837294146
