Time,KS_X,KS_Y,Gierwinkel,Geschw_X,Geschw_Y,Giergeschwindigkeit
5.264,14.7433140667002,0.000954620775582854,0.000558346934265061,2.79950362235314,0.00968296194424812,0.00558930170740108
5.268,14.7542266038504,0.00099276926379345,0.00058034288266803,2.79949910582101,0.00989022051634487,0.00569619451124207
5.272,14.7651391225605,0.00103172587541168,0.00060275375108798,2.79949412638231,0.0100977674469812,0.00580228658741621
5.276,14.776051620793,0.00107149268114607,0.000625576944759966,2.79948857587751,0.0103059940835288,0.00590779391648963
5.28,14.7874385127809,0.00111385589846261,0.000649830012031062,2.79948207387053,0.0105244056505427,0.00601749172589888
5.284,14.7988253766596,0.00115711059008927,0.00067452885853932,2.79947475433535,0.0107443356160462,0.00612698638754678
5.288,14.8102122089942,0.00120126344236695,0.000699672945328452,2.79946655854794,0.0109660244155644,0.00623641354004296
5.292,14.8215990062044,0.00124632167231356,0.000725262043760576,2.79945747174389,0.0111895553710139,0.00634582403894203
5.296,14.8336026550837,0.00129480923905647,0.000752719075141698,2.79944695414344,0.0114271412324206,0.00646112330565897
5.3,14.8456062568681,0.00134431964882705,0.000780670324210511,2.79943553778657,0.0116665440821739,0.00657629177757083
5.304,14.8456062568681,0.00134431964882705,0.000780670324210511,2.79943553778657,0.0116665440821739,0.00657629177757083
5.308,14.8576098078509,0.00139486039467905,0.000809115085320595,2.7994233283355,0.0119074619897107,0.00669117385835868
5.312,14.869613305039,0.0014464367248509,0.00083805147889412,2.79941046880576,0.0121495004468884,0.0068055663694577
5.316,14.8807680775264,0.00149529793275443,0.000865380312071842,2.79939808103476,0.0123750422824455,0.00691123267032022
5.32,14.8919228000372,0.00154505843845387,0.000893128660845834,2.79938541036909,0.0126008527783313,0.00701612036427621
5.324,14.9030774716637,0.00159571902463815,0.000921293292453227,2.7993725933248,0.0128267051534214,0.00712012143467707
5.328,14.914232092133,0.00164727953685138,0.00094987053902963,2.79935976078777,0.0130524893156926,0.00722319333446885
5.332,14.9263673754045,0.00170439501160533,0.000981424643878325,2.79934592545406,0.0132980711727177,0.00733430786889176
5.336,14.9385025992619,0.00176257539473489,0.00101345841015612,2.7993323725724,0.0135438907818692,0.00744454722366284
5.34,14.9506377651961,0.00182182231038807,0.00104596842450232,2.79931924685386,0.0137903543766027,0.00755416152163802
5.344,14.9627728753643,0.00188213981060313,0.00107895273056076,2.79930667281975,0.0140379019874217,0.00766341893878942
5.348,14.9754356709709,0.00194622818752517,0.0011138762249506,2.79929425313854,0.014297855417545,0.00777734181035435
5.352,14.9880984122505,0.00201149728339203,0.00114931546646701,2.79928265175037,0.0145599314086661,0.00789144849488094
5.356,15.0007611030192,0.00207795734166217,0.00118527169924069,2.79927192893249,0.0148244174931921,0.00800592072160654
5.36,15.0134237472519,0.00214561932014434,0.00122174665226472,2.7992620899445,0.0150913906832118,0.0081208236446467
5.364,15.0134237472519,0.00214561932014434,0.00122174665226472,2.7992620899445,0.0150913906832118,0.0081208236446467
5.368,15.0258393297626,0.00221313887330667,0.00125801544414402,2.79925326174637,0.0153554873109948,0.00823387776422926
5.372,15.038254874825,0.00228183464925681,0.00129478642417045,2.79924517225167,0.015621681318447,0.0083472220522185
5.376,15.0506703855535,0.00235171562842866,0.0013320607430528,2.79923771390285,0.0158896512400203,0.00846069760233027
5.38,15.0630858643437,0.00242278839049958,0.00136983831086525,2.79923074762872,0.0161590067759909,0.00857410862933292
5.384,15.0746660975694,0.0024901584336857,0.00140552726610795,2.79922455476424,0.0164111216081016,0.00867964547495143
5.388,15.0862463055619,0.00255857265571075,0.0014416520504953,2.79921852364387,0.0166638034318133,0.00878480668522093
5.392,15.0978264887677,0.00262803316631417,0.00147821100970993,2.79921252249957,0.0169168786744807,0.00888951242915285
5.396,15.1094066469996,0.00269854141812169,0.00151520219742113,2.79920642387712,0.0171702910374067,0.00899374692945165
5.4,15.1198940554603,0.00276330160724956,0.00154907417481142,2.7992007143214,0.0174001386077598,0.0090877826463411
5.404,15.1303814420461,0.00282892379766467,0.00158329796863672,2.79919473333557,0.0176304930248667,0.00918158122354308
5.408,15.1408688055968,0.00289541020524391,0.00161787288287475,2.79918839571931,0.0178615690758855,0.00927527015271969
5.412,15.1513561446244,0.00296276405636276,0.0016527988082153,2.79918162644083,0.0180935962773856,0.00936898378453905
5.416,15.1630376052589,0.00303881339623912,0.00169211530038425,2.79917349962533,0.0183534476298417,0.00947356215938162
5.42,15.1747190305319,0.00311595082136306,0.00173186898116968,2.7991646785743,0.0186150696649565,0.0095785107385218
5.424,15.1864004174464,0.00319418415421963,0.00177206164781389,2.79915511197745,0.0188786733601686,0.0096839493189703
5.428,15.1980817628689,0.00327352179534575,0.00181269541534376,2.79914478333505,0.019144349901384,0.00978993055684622
5.432,15.2108990818993,0.0033618558029483,0.00185779096615961,2.79913259079416,0.0194382374032529,0.00990683779780158
5.436,15.2237163430925,0.00345154110073784,0.00190342325520734,2.79911955141958,0.0197344684898751,0.0100243140549823
5.44,15.236533542706,0.00354258819568493,0.00194959476651453,2.79910575763761,0.0200327853935489,0.0101422160067819
5.444,15.249350677682,0.00363500542960996,0.00199630677955325,2.79909133932926,0.0203328430325422,0.0102603537700472
5.448,15.249350677682,0.00363500542960996,0.00199630677955325,2.79909133932926,0.0203328430325422,0.0102603537700472
5.452,15.260875097411,0.00371927742996244,0.00203876952303153,2.79907796855246,0.020603801614615,0.0103666004924458
5.456,15.2723994614957,0.00380466679784197,0.00208166948092263,2.79906433204538,0.0208756011709309,0.0104727264569245
