Time,AntriebsmomentVA,AntriebsmomentHA,Lenkwinkel,BremsmomentVA,BremsmomentHA,Geschw_S
26.172,0,0,0.778156068097584,0,0,13.9
26.176,0,0,0.777680149384145,0,0,13.9
26.18,0,0,0.777436539353216,0,0,13.9
26.184,0,0,0.777220413179322,0,0,13.9
26.188,0,0,0.777001408026496,0,0,13.9
26.192,0,0,0.776779524705975,0,0,13.9
26.196,0,0,0.77655476403966,0,0,13.9
26.2,0,0,0.776016602751669,0,0,13.9
26.204,0,0,0.775741597737359,0,0,13.9
26.208,0,0,0.775462645002129,0,0,13.9
26.212,0,0,0.775149052640502,0,0,13.9
26.216,0,0,0.774830620442073,0,0,13.9
26.22,0,0,0.774507350395053,0,0,13.9
26.224,0,0,0.77417924451786,0,0,13.9
26.228,0,0,0.77417924451786,0,0,13.9
26.232,0,0,0.773820158048238,0,0,13.9
26.236,0,0,0.773455457719953,0,0,13.9
26.24,0,0,0.773085146178809,0,0,13.9
26.244,0,0,0.772709226111315,0,0,13.9
26.248,0,0,0.772304130973933,0,0,13.9
26.252,0,0,0.771892725029367,0,0,13.9
26.256,0,0,0.771475011639379,0,0,13.9
26.26,0,0,0.771475011639379,0,0,13.9
26.264,0,0,0.771050994217275,0,0,13.9
26.268,0,0,0.770598649108733,0,0,13.9
26.272,0,0,0.770139351152249,0,0,13.9
26.276,0,0,0.769673104491912,0,0,13.9
26.28,0,0,0.769673104491912,0,0,13.9
26.284,0,0,0.769199913334506,0,0,13.9
26.288,0,0,0.768698685543385,0,0,13.9
26.292,0,0,0.768189903924432,0,0,13.9
26.296,0,0,0.768189903924432,0,0,13.9
26.3,0,0,0.767673573477329,0,0,13.9
26.304,0,0,0.767149699275939,0,0,13.9
26.308,0,0,0.766597769415054,0,0,13.9
26.312,0,0,0.766597769415054,0,0,13.9
26.316,0,0,0.766037717867446,0,0,13.9
26.32,0,0,0.76546955056656,0,0,13.9
26.324,0,0,0.764893273531818,0,0,13.9
26.328,0,0,0.764893273531818,0,0,13.9
26.332,0,0,0.76428877302579,0,0,13.9
26.336,0,0,0.76367561223727,0,0,13.9
26.34,0,0,0.763053798114083,0,0,13.9
26.344,0,0,0.763053798114083,0,0,13.9
26.348,0,0,0.76242333770211,0,0,13.9
26.352,0,0,0.761764379851879,0,0,13.9
26.356,0,0,0.761764379851879,0,0,13.9
26.36,0,0,0.761096249402361,0,0,13.9
26.364,0,0,0.760418954398684,0,0,13.9
26.368,0,0,0.760418954398684,0,0,13.9
26.372,0,0,0.759732502996331,0,0,13.9
26.376,0,0,0.759017096925076,0,0,13.9
26.38,0,0,0.759017096925076,0,0,13.9
26.384,0,0,0.758292027040224,0,0,13.9
26.388,0,0,0.757557302573374,0,0,13.9
26.392,0,0,0.757557302573374,0,0,13.9
26.396,0,0,0.756812932879045,0,0,13.9
26.4,0,0,0.756038895200884,0,0,13.9
26.404,0,0,0.756038895200884,0,0,13.9
26.408,0,0,0.755254716775477,0,0,13.9
26.412,0,0,0.754460408121008,0,0,13.9
26.416,0,0,0.754460408121008,0,0,13.9
26.42,0,0,0.753655979891534,0,0,13.9
26.424,0,0,0.752821010357673,0,0,13.9
26.428,0,0,0.752821010357673,0,0,13.9
26.432,0,0,0.751975433571595,0,0,13.9
26.436,0,0,0.751119261447483,0,0,13.9
26.44,0,0,0.751119261447483,0,0,13.9
26.444,0,0,0.750252506048805,0,0,13.9
26.448,0,0,0.749354421627521,0,0,13.9
26.452,0,0,0.749354421627521,0,0,13.9
26.456,0,0,0.748445276385982,0,0,13.9
26.46,0,0,0.748445276385982,0,0,13.9
26.464,0,0,0.747525083743595,0,0,13.9
26.468,0,0,0.746593857282832,0,0,13.9
26.472,0,0,0.746593857282832,0,0,13.9
26.476,0,0,0.74563071504053,0,0,13.9
26.48,0,0,0.74465607634912,0,0,13.9
26.484,0,0,0.74465607634912,0,0,13.9
26.488,0,0,0.743669956235992,0,0,13.9
26.492,0,0,0.743669956235992,0,0,13.9
26.496,0,0,0.742672369905562,0,0,13.9
26.5,0,0,0.741642235897522,0,0,13.9
26.504,0,0,0.741642235897522,0,0,13.9
26.508,0,0,0.740600186585299,0,0,13.9
26.512,0,0,0.740600186585299,0,0,13.9
26.516,0,0,0.739546238710569,0,0,13.9
26.52,0,0,0.738480409206175,0,0,13.9
26.524,0,0,0.738480409206175,0,0,13.9
26.528,0,0,0.737380991130227,0,0,13.9
26.532,0,0,0.737380991130227,0,0,13.9
26.536,0,0,0.736269246500952,0,0,13.9
26.54,0,0,0.735145193903016,0,0,13.9
26.544,0,0,0.735145193903016,0,0,13.9
26.548,0,0,0.734008852126835,0,0,13.9
26.552,0,0,0.734008852126835,0,0,13.9
26.556,0,0,0.732837542074053,0,0,13.9
26.56,0,0,0.732837542074053,0,0,13.9
26.564,0,0,0.731653495131315,0,0,13.9
26.568,0,0,0.730456731877636,0,0,13.9
26.572,0,0,0.730456731877636,0,0,13.9
26.576,0,0,0.729247273113046,0,0,13.9
26.58,0,0,0.729247273113046,0,0,13.9
26.584,0,0,0.728010252403974,0,0,13.9
26.588,0,0,0.728010252403974,0,0,13.9
26.592,0,0,0.726760270188813,0,0,13.9
26.596,0,0,0.725497348722264,0,0,13.9
26.6,0,0,0.725497348722264,0,0,13.9
26.604,0,0,0.724221510489403,0,0,13.9
26.608,0,0,0.724221510489403,0,0,13.9
26.612,0,0,0.722920135919172,0,0,13.9
26.616,0,0,0.722920135919172,0,0,13.9
26.62,0,0,0.721605637986088,0,0,13.9
26.624,0,0,0.720278040552582,0,0,13.9
26.628,0,0,0.720278040552582,0,0,13.9
26.632,0,0,0.718937367718887,0,0,13.9
26.636,0,0,0.718937367718887,0,0,13.9
26.64,0,0,0.717570521674951,0,0,13.9
26.644,0,0,0.717570521674951,0,0,13.9
26.648,0,0,0.716190396854431,0,0,13.9
26.652,0,0,0.716190396854431,0,0,13.9
26.656,0,0,0.714797018796795,0,0,13.9
26.66,0,0,0.713390413286766,0,0,13.9
26.664,0,0,0.713390413286766,0,0,13.9
26.668,0,0,0.711956834728627,0,0,13.9
26.672,0,0,0.711956834728627,0,0,13.9
26.676,0,0,0.710509825657505,0,0,13.9
26.68,0,0,0.710509825657505,0,0,13.9
26.684,0,0,0.709049413370103,0,0,13.9
26.688,0,0,0.709049413370103,0,0,13.9
26.692,0,0,0.707575625415965,0,0,13.9
26.696,0,0,0.706073926610275,0,0,13.9
26.7,0,0,0.706073926610275,0,0,13.9
26.704,0,0,0.704558647310986,0,0,13.9
26.708,0,0,0.704558647310986,0,0,13.9
26.712,0,0,0.703029816662697,0,0,13.9
26.716,0,0,0.703029816662697,0,0,13.9
26.72,0,0,0.70148746407065,0,0,13.9
26.724,0,0,0.70148746407065,0,0,13.9
26.728,0,0,0.699916227133973,0,0,13.9
26.732,0,0,0.699916227133973,0,0,13.9
26.736,0,0,0.698331261631694,0,0,13.9
26.74,0,0,0.696732598652251,0,0,13.9
26.744,0,0,0.696732598652251,0,0,13.9
26.748,0,0,0.695120269552754,0,0,13.9
26.752,0,0,0.695120269552754,0,0,13.9
26.756,0,0,0.693478188545872,0,0,13.9
26.76,0,0,0.693478188545872,0,0,13.9
26.764,0,0,0.691822235397062,0,0,13.9
26.768,0,0,0.691822235397062,0,0,13.9
26.772,0,0,0.690152443231544,0,0,13.9
26.776,0,0,0.690152443231544,0,0,13.9
26.78,0,0,0.688468845451368,0,0,13.9
26.784,0,0,0.688468845451368,0,0,13.9
26.788,0,0,0.686754716191411,0,0,13.9
26.792,0,0,0.686754716191411,0,0,13.9
26.796,0,0,0.685026577774593,0,0,13.9
26.8,0,0,0.683284465453331,0,0,13.9
26.804,0,0,0.683284465453331,0,0,13.9
26.808,0,0,0.681528414765094,0,0,13.9
26.812,0,0,0.681528414765094,0,0,13.9
26.816,0,0,0.67974098997762,0,0,13.9
26.82,0,0,0.67974098997762,0,0,13.9
26.824,0,0,0.677939425096658,0,0,13.9
26.828,0,0,0.677939425096658,0,0,13.9
26.832,0,0,0.676123757598683,0,0,13.9
26.836,0,0,0.676123757598683,0,0,13.9
26.84,0,0,0.674294025253534,0,0,13.9
26.844,0,0,0.674294025253534,0,0,13.9
26.848,0,0,0.672431956363295,0,0,13.9
26.852,0,0,0.672431956363295,0,0,13.9
26.856,0,0,0.670555621294787,0,0,13.9
26.86,0,0,0.670555621294787,0,0,13.9
26.864,0,0,0.668665059855953,0,0,13.9
26.868,0,0,0.668665059855953,0,0,13.9
26.872,0,0,0.666760312156553,0,0,13.9
26.876,0,0,0.664822274206422,0,0,13.9
26.88,0,0,0.664822274206422,0,0,13.9
26.884,0,0,0.662869849732264,0,0,13.9
26.888,0,0,0.662869849732264,0,0,13.9
26.892,0,0,0.660903080983869,0,0,13.9
26.896,0,0,0.660903080983869,0,0,13.9
26.9,0,0,0.658922010521431,0,0,13.9
26.904,0,0,0.658922010521431,0,0,13.9
26.908,0,0,0.656906835092502,0,0,13.9
26.912,0,0,0.656906835092502,0,0,13.9
26.916,0,0,0.654877161268178,0,0,13.9
26.92,0,0,0.654877161268178,0,0,13.9
26.924,0,0,0.652833033844785,0,0,13.9
26.928,0,0,0.652833033844785,0,0,13.9
26.932,0,0,0.650774497937651,0,0,13.9
26.936,0,0,0.650774497937651,0,0,13.9
26.94,0,0,0.64868113155965,0,0,13.9
26.944,0,0,0.64868113155965,0,0,13.9
26.948,0,0,0.646573165207525,0,0,13.9
26.952,0,0,0.646573165207525,0,0,13.9
26.956,0,0,0.644450646325623,0,0,13.9
26.96,0,0,0.644450646325623,0,0,13.9
26.964,0,0,0.642313622685832,0,0,13.9
26.968,0,0,0.642313622685832,0,0,13.9
26.972,0,0,0.640140989825891,0,0,13.9
26.976,0,0,0.640140989825891,0,0,13.9
26.98,0,0,0.637953665475665,0,0,13.9
26.984,0,0,0.637953665475665,0,0,13.9
26.988,0,0,0.635751699835121,0,0,13.9
26.992,0,0,0.635751699835121,0,0,13.9
26.996,0,0,0.633535143440244,0,0,13.9
27,0,0,0.633535143440244,0,0,13.9
27.004,0,0,0.631282129205052,0,0,13.9
27.008,0,0,0.631282129205052,0,0,13.9
27.012,0,0,0.62901434167743,0,0,13.9
27.016,0,0,0.62901434167743,0,0,13.9
27.02,0,0,0.626731833928245,0,0,13.9
27.024,0,0,0.626731833928245,0,0,13.9
27.028,0,0,0.624434659372842,0,0,13.9
27.032,0,0,0.624434659372842,0,0,13.9
27.036,0,0,0.622100253723541,0,0,13.9
27.04,0,0,0.622100253723541,0,0,13.9
27.044,0,0,0.619751004303276,0,0,13.9
27.048,0,0,0.619751004303276,0,0,13.9
27.052,0,0,0.617386967166874,0,0,13.9
27.056,0,0,0.617386967166874,0,0,13.9
27.06,0,0,0.615008198722005,0,0,13.9
27.064,0,0,0.615008198722005,0,0,13.9
27.068,0,0,0.612591621369713,0,0,13.9
27.072,0,0,0.612591621369713,0,0,13.9
27.076,0,0,0.610160144076825,0,0,13.9
27.08,0,0,0.610160144076825,0,0,13.9
27.084,0,0,0.607713825983665,0,0,13.9
27.088,0,0,0.607713825983665,0,0,13.9
27.092,0,0,0.605252726591525,0,0,13.9
27.096,0,0,0.605252726591525,0,0,13.9
27.1,0,0,0.602753369424731,0,0,13.9
27.104,0,0,0.602753369424731,0,0,13.9
27.108,0,0,0.602753369424731,0,0,13.9
27.112,0,0,0.600239072384225,0,0,13.9
27.116,0,0,0.600239072384225,0,0,13.9
27.12,0,0,0.597709897789493,0,0,13.9
27.124,0,0,0.597709897789493,0,0,13.9
27.128,0,0,0.595165908328776,0,0,13.9
27.132,0,0,0.595165908328776,0,0,13.9
27.136,0,0,0.592583176246008,0,0,13.9
27.14,0,0,0.592583176246008,0,0,13.9
27.144,0,0,0.589985480455877,0,0,13.9
27.148,0,0,0.589985480455877,0,0,13.9
27.152,0,0,0.587372886554507,0,0,13.9
27.156,0,0,0.587372886554507,0,0,13.9
27.16,0,0,0.584745460514225,0,0,13.9
27.164,0,0,0.584745460514225,0,0,13.9
27.168,0,0,0.58207878250803,0,0,13.9
27.172,0,0,0.58207878250803,0,0,13.9
27.176,0,0,0.579397133124844,0,0,13.9
27.18,0,0,0.579397133124844,0,0,13.9
27.184,0,0,0.576700581338119,0,0,13.9
27.188,0,0,0.576700581338119,0,0,13.9
27.192,0,0,0.573989196504607,0,0,13.9
27.196,0,0,0.573989196504607,0,0,13.9
27.2,0,0,0.573989196504607,0,0,13.9
27.204,0,0,0.571238287247312,0,0,13.9
27.208,0,0,0.571238287247312,0,0,13.9
27.212,0,0,0.568472418056687,0,0,13.9
27.216,0,0,0.568472418056687,0,0,13.9
27.22,0,0,0.565691661366985,0,0,13.9
27.224,0,0,0.565691661366985,0,0,13.9
27.228,0,0,0.562896090002343,0,0,13.9
27.232,0,0,0.562896090002343,0,0,13.9
27.236,0,0,0.560061095486926,0,0,13.9
27.24,0,0,0.560061095486926,0,0,13.9
27.244,0,0,0.557211175675079,0,0,13.9
27.248,0,0,0.557211175675079,0,0,13.9
27.252,0,0,0.554346406515477,0,0,13.9
27.256,0,0,0.554346406515477,0,0,13.9
27.26,0,0,0.554346406515477,0,0,13.9
27.264,0,0,0.55146686435252,0,0,13.9
27.268,0,0,0.55146686435252,0,0,13.9
27.272,0,0,0.548548095936163,0,0,13.9
27.276,0,0,0.548548095936163,0,0,13.9
27.28,0,0,0.545614460827834,0,0,13.9
27.284,0,0,0.545614460827834,0,0,13.9
27.288,0,0,0.542666038534596,0,0,13.9
27.292,0,0,0.542666038534596,0,0,13.9
27.296,0,0,0.539702908964277,0,0,13.9
27.3,0,0,0.539702908964277,0,0,13.9
27.304,0,0,0.536700464245034,0,0,13.9
27.308,0,0,0.536700464245034,0,0,13.9
27.312,0,0,0.536700464245034,0,0,13.9
27.316,0,0,0.533683232335104,0,0,13.9
27.32,0,0,0.533683232335104,0,0,13.9
27.324,0,0,0.530651296365368,0,0,13.9
27.328,0,0,0.530651296365368,0,0,13.9
27.332,0,0,0.52760473987184,0,0,13.9
27.336,0,0,0.52760473987184,0,0,13.9
27.34,0,0,0.524518532775149,0,0,13.9
27.344,0,0,0.524518532775149,0,0,13.9
27.348,0,0,0.521417636592588,0,0,13.9
27.352,0,0,0.521417636592588,0,0,13.9
27.356,0,0,0.521417636592588,0,0,13.9
27.36,0,0,0.518302138164426,0,0,13.9
27.364,0,0,0.518302138164426,0,0,13.9
27.368,0,0,0.515172124739867,0,0,13.9
27.372,0,0,0.515172124739867,0,0,13.9
