Time,Antriebsmoment VA,Antriebsmoment HA,Lenkwinkel,Bremsmoment VA,Bremsmoment HA
0,155.574646906037,0,0,0,0
1.22232916375162e-06,155.574646906037,0,0,0,0
2.44465832750324e-06,155.574646906037,0,0,0,0
3.66698749125486e-06,155.574646906037,0,0,0,0
4.88931665500648e-06,155.574646906037,0,0,0,0
1.10009624737646e-05,155.574646906037,0,0,0,0
1.71126082925227e-05,155.574646906037,0,0,0,0
2.32242541112808e-05,155.574646906037,0,0,0,0
2.93358999300389e-05,155.574646906037,0,0,0,0
5.98941290238294e-05,155.574646906037,0,0,0,0
9.04523581176199e-05,155.574646906037,0,0,0,0
0.00012101058721141,155.574646906037,0,0,0,0
0.000151568816305201,155.574646906037,0,0,0,0
0.000304359961774154,155.574646906037,0,0,0,0
0.000457151107243106,155.574646906037,0,0,0,0
0.000609942252712059,155.574646906037,0,0,0,0
0.000762733398181011,155.574646906037,0,0,0,0
0.00152668912552577,155.574646906037,0,0,0,0
0.00229064485287054,155.574646906037,0,0,0,0
0.0030546005802153,155.574646906037,0,0,0,0
0.00381855630756006,155.574646906037,0,0,0,0
0.00487013702968524,155.574646906037,0,0,0,0
0.00592171775181043,155.574646906037,0,0,0,0
0.00697329847393561,155.574646906037,0,0,0,0
0.00802487919606079,155.574646906037,0,0,0,0
0.00982971368371214,155.574646906037,0,0,0,0
0.0116345481713635,155.574646906037,0,0,0,0
0.0134393826590148,155.574646906037,0,0,0,0
0.0152442171466662,155.574646906037,0,0,0,0
0.0188391454209241,155.574646906037,0,0,0,0
0.022434073695182,155.574646906037,0,0,0,0
0.02602900196944,155.574646906037,0,0,0,0
0.0296239302436979,155.574646906037,0,0,0,0
0.0331982435901797,155.574646906037,0,0,0,0
0.0367725569366615,155.574646906037,0,0,0,0
0.0403468702831433,155.574646906037,0,0,0,0
0.043921183629625,155.574646906037,0,0,0,0
0.0472034816551159,155.574646906037,0,0,0,0
0.0504857796806067,155.574646906037,0,0,0,0
0.0537680777060976,155.574646906037,0,0,0,0
0.0570503757315884,155.574646906037,0,0,0,0
0.0606838769737327,155.574646906037,0,0,0,0
0.064317378215877,155.574646906037,0,0,0,0
0.0679508794580212,155.574646906037,0,0,0,0
0.0715843807001655,155.574646906037,0,0,0,0
0.0753442236412221,155.574646906037,0,0,0,0
0.0791040665822786,155.574646906037,0,0,0,0
