Time,AntriebsmomentVA,AntriebsmomentHA,Lenkwinkel,BremsmomentVA,BremsmomentHA,Geschw_S
75.6,0,0,-0.00873256421203435,0,0,13.9
75.604,0,0,-0.00873256421203435,0,0,13.9
75.608,0,0,-0.00794324689935478,0,0,13.9
75.612,0,0,-0.00794324689935478,0,0,13.9
75.616,0,0,-0.00715376675500364,0,0,13.9
75.62,0,0,-0.00715376675500364,0,0,13.9
75.624,0,0,-0.00631498588044595,0,0,13.9
75.628,0,0,-0.00631498588044595,0,0,13.9
75.632,0,0,-0.00547605893564382,0,0,13.9
75.636,0,0,-0.00547605893564382,0,0,13.9
75.64,0,0,-0.00463700532559262,0,0,13.9
75.644,0,0,-0.00463700532559262,0,0,13.9
75.648,0,0,-0.00379784445821385,0,0,13.9
75.652,0,0,-0.00379784445821385,0,0,13.9
75.656,0,0,-0.00290696083403,0,0,13.9
75.66,0,0,-0.00290696083403,0,0,13.9
75.664,0,0,-0.00201600144169823,0,0,13.9
75.668,0,0,-0.00201600144169823,0,0,13.9
75.672,0,0,-0.00112498950353184,0,0,13.9
75.676,0,0,-0.00112498950353184,0,0,13.9
75.68,0,0,-0.000233948243206275,0,0,13.9
75.684,0,0,-0.000233948243206275,0,0,13.9
75.688,0,0,0.000665347636105969,0,0,13.9
75.692,0,0,0.000665347636105969,0,0,13.9
75.696,0,0,0.000665347636105969,0,0,13.9
75.7,0,0,0.00156462585098312,0,0,13.9
75.704,0,0,0.00156462585098312,0,0,13.9
75.708,0,0,0.00246386252632348,0,0,13.9
75.712,0,0,0.00246386252632348,0,0,13.9
75.716,0,0,0.00336303378813191,0,0,13.9
75.72,0,0,0.00336303378813191,0,0,13.9
75.724,0,0,0.00425153007807157,0,0,13.9
75.728,0,0,0.00425153007807157,0,0,13.9
75.732,0,0,0.00513991613581373,0,0,13.9
75.736,0,0,0.00513991613581373,0,0,13.9
75.74,0,0,0.00602816892759001,0,0,13.9
75.744,0,0,0.00602816892759001,0,0,13.9
75.748,0,0,0.00691626542309106,0,0,13.9
75.752,0,0,0.00691626542309106,0,0,13.9
75.756,0,0,0.00691626542309106,0,0,13.9
75.76,0,0,0.00778687223524053,0,0,13.9
75.764,0,0,0.00778687223524053,0,0,13.9
75.768,0,0,0.00865728494823035,0,0,13.9
75.772,0,0,0.00865728494823035,0,0,13.9
75.776,0,0,0.00952748186575157,0,0,13.9
75.78,0,0,0.00952748186575157,0,0,13.9
75.784,0,0,0.0103974412968792,0,0,13.9
75.788,0,0,0.0103974412968792,0,0,13.9
75.792,0,0,0.0112491908993607,0,0,13.9
75.796,0,0,0.0112491908993607,0,0,13.9
75.8,0,0,0.0121006715566479,0,0,13.9
75.804,0,0,0.0121006715566479,0,0,13.9
75.808,0,0,0.0129518629115725,0,0,13.9
75.812,0,0,0.0129518629115725,0,0,13.9
75.816,0,0,0.0138027446138913,0,0,13.9
75.82,0,0,0.0138027446138913,0,0,13.9
75.824,0,0,0.0146380749472595,0,0,13.9
75.828,0,0,0.0146380749472595,0,0,13.9
75.832,0,0,0.0154730677303832,0,0,13.9
75.836,0,0,0.0154730677303832,0,0,13.9
75.84,0,0,0.016307703708546,0,0,13.9
75.844,0,0,0.016307703708546,0,0,13.9
75.848,0,0,0.0171419636352556,0,0,13.9
75.852,0,0,0.0171419636352556,0,0,13.9
75.856,0,0,0.0179611468700648,0,0,13.9
75.86,0,0,0.0179611468700648,0,0,13.9
75.864,0,0,0.0187799303849392,0,0,13.9
75.868,0,0,0.0187799303849392,0,0,13.9
75.872,0,0,0.0195982959580972,0,0,13.9
75.876,0,0,0.0195982959580972,0,0,13.9
75.88,0,0,0.0204162253770587,0,0,13.9
75.884,0,0,0.0204162253770587,0,0,13.9
75.888,0,0,0.0212179239497725,0,0,13.9
75.892,0,0,0.0212179239497725,0,0,13.9
75.896,0,0,0.0220191683790162,0,0,13.9
