Time,KS_X,KS_Y,Gierwinkel,Geschw_X,Geschw_Y,Giergeschwindigkeit
0,0,0,0,41.7,0,0
0.004,0.156942545801143,0,0,41.6999067500713,0,0
0.008,0.332241919513119,0,0,41.6996067609793,0,0
0.012,0.483757846872367,0,0,41.6992143851227,0,0
0.016,0.635272173643912,0,0,41.6987313732511,0,0
0.02,0.794272410741255,0,0,41.6981602454333,0,0
0.024,0.953270402397425,0,0,41.6975587955551,0,0
0.028,1.11226608180782,0,0,41.6969597860677,0,0
0.032,1.27125951943526,0,0,41.6963897877367,0,0
0.036,1.57258755636533,0,0,41.6954642968127,0,0
0.04,1.72324931053071,0,0,41.6951054083399,0,0
0.044,1.87390990670539,0,0,41.6948252240178,0,0
0.048,2.01100569261903,0,0,41.6946401505961,0,0
0.052,2.14810098083982,0,0,41.6945210989356,0,0
0.056,2.28519598762843,0,0,41.6944649825629,0,0
0.06,2.57603714747764,0,0,41.6945298974649,0,0
0.064,2.72978372534159,0,0,41.6946469769981,0,0
0.068,2.88353082500661,0,0,41.6948062499093,0,0
0.072,3.03727857297991,0,0,41.6949959662586,0,0
0.076,3.19045638421966,0,0,41.6952038184823,0,0
0.08,3.34363497527749,0,0,41.6954189410374,0,0
0.084,3.49681435732867,0,0,41.6956310197942,0,0
0.088,3.64999450140535,0,0,41.6958317055432,0,0
0.092,3.80317535004564,0,0,41.6960142076213,0,0
0.096,3.95635682508754,0,0,41.6961726011823,0,0
0.1,4.10953882990093,0,0,41.6963028578068,0,0
0.104,4.40537089912773,0,0,41.6964688141753,0,0
0.108,4.54802071852867,0,0,41.6965085356937,0,0
0.112,4.69067062872825,0,0,41.6965236183115,0,0
0.116,4.83332055149443,0,0,41.6965162855482,0,0
0.12,5.01908974978779,0,0,41.6964776571177,0,0
0.124,5.20485871412598,0,0,41.6964130802235,0,0
0.128,5.39062733863275,0,0,41.6963304632619,0,0
0.132,5.57639556738165,0,0,41.6962373404059,0,0
0.136,5.72703180678163,0,0,41.6961590139491,0,0
0.14,5.87766776502858,0,0,41.6960821007904,0,0
0.144,6.02830345212385,0,0,41.6960097100484,0,0
0.148,6.17893888904088,0,0,41.6959442071621,0,0
0.152,6.32957410441465,0,0,41.6958873767873,0,0
0.156,6.48020913284827,0,0,41.695840648575,0,0
0.16,6.63084401277927,0,0,41.6958048156294,0,0
0.164,6.78147878302232,0,0,41.6957800282992,0,0
0.168,7.07050085226399,0,0,41.6957619425131,0,0
0.172,7.21501187208482,0,0,41.6957659739318,0,0
0.176,7.35952291895333,0,0,41.6957773342223,0,0
0.18,7.54344236813977,0,0,41.6958004761962,0,0
0.184,7.72736193619297,0,0,41.6958306406409,0,0
0.188,7.91128165022658,0,0,41.6958649508269,0,0
0.192,8.09520152060858,0,0,41.6959008550614,0,0
0.196,8.09520152060858,0,0,41.6959008550614,0,0
0.2,8.27912154674297,0,0,41.6959361127644,0,0
0.204,8.46304172260248,0,0,41.6959685867565,0,0
0.208,8.6469620329334,0,0,41.69599664135,0,0
0.212,8.83088245592785,0,0,41.6960193303593,0,0
0.216,8.98245239685449,0,0,41.6960336495481,0,0
0.22,9.1340223821527,0,0,41.6960438265519,0,0
0.224,9.2855923965783,0,0,41.6960499324752,0,0
0.228,9.43716242618855,0,0,41.6960522168542,0,0
0.232,9.75069059805918,0,0,41.6960465362464,0,0
0.236,9.90745465637832,0,0,41.6960395536703,0,0
0.24,10.0642186845446,0,0,41.6960306343758,0,0
0.244,10.231018230862,0,0,41.6960197164829,0,0
0.248,10.39781773186,0,0,41.696008090291,0,0
0.252,10.5646171857761,0,0,41.695996462703,0,0
0.256,10.7314165940128,0,0,41.6959854029913,0,0
0.26,10.8982159600922,0,0,41.6959753717908,0,0
0.264,11.0650152889014,0,0,41.6959667762778,0,0
0.268,11.2318145867514,0,0,41.6959598878088,0,0
0.272,11.3986138606019,0,0,41.6959548250667,0,0
0.276,11.5489101526716,0,0,41.6959518375936,0,0
0.28,11.6992064366717,0,0,41.6959503086497,0,0
0.284,11.8495027178102,0,0,41.6959501402322,0,0
0.288,11.9997990005836,0,0,41.6959511888721,0,0
0.292,12.1614270093118,0,0,41.6959534758896,0,0
0.296,12.3230550288652,0,0,41.6959567183095,0,0
0.3,12.484683062608,0,0,41.6959606525567,0,0
0.304,12.646311112569,0,0,41.6959650270471,0,0
0.308,12.8432638737312,0,0,41.6959706176639,0,0
0.312,13.0402166611351,0,0,41.6959760919226,0,0
0.316,13.2371694736481,0,0,41.6959810982556,0,0
0.32,13.4341223083574,0,0,41.695985410509,0,0
0.324,13.4341223083574,0,0,41.695985410509,0,0
0.328,13.5958474668159,0,0,41.6959883315012,0,0
0.332,13.9192978114938,0,0,41.6959922735079,0,0
0.336,14.0810229928073,0,0,41.6959932991293,0,0
0.34,14.2281008625779,0,0,41.6959937306879,0,0
0.344,14.375178733088,0,0,41.6959937338483,0,0
0.348,14.5222566028906,0,0,41.6959933690992,0,0
0.352,14.6693344708501,0,0,41.6959927027942,0,0
0.356,14.8603793853366,0,0,41.6959914985883,0,0
0.36,15.0514242937151,0,0,41.6959900647386,0,0
0.364,15.2424691951554,0,0,41.6959885550678,0,0
0.368,15.433514089707,0,0,41.6959870937814,0,0
0.372,15.433514089707,0,0,41.6959870937814,0,0
0.376,15.6097957164463,0,0,41.6959858759629,0,0
0.38,15.7860773384549,0,0,41.6959848577875,0,0
0.384,15.9623589566775,0,0,41.6959840880838,0,0
0.388,16.1386405721988,0,0,41.6959835889077,0,0
0.392,16.2959975639896,0,0,41.6959833751818,0,0
0.396,16.4533545553917,0,0,41.6959833767897,0,0
0.4,16.6107115472123,0,0,41.6959835794691,0,0
0.404,16.9160270939772,0,0,41.6959844599952,0,0
0.408,17.0639856497838,0,0,41.6959850679084,0,0
0.412,17.2119442079174,0,0,41.6959857583071,0,0
0.416,17.3599027686116,0,0,41.6959865052751,0,0
0.42,17.5433866988659,0,0,41.6959874737553,0,0
